"DC","DSB","Lon","Lat","Anch","Mun","LogAnch"
33.12422149,-32.88177615,-79.78932343,-7.69009505,6703.069063,0,8.810469943869
3.897682032,-24.70059775,-76.54895669,-12.96935997,69.125268,0,4.25028318558244
29.55088015,1.189193342,-76.78326583,-13.01133333,539.018324,1277.471489,6.29160307231593
7.938007216,-22.78544268,-77.71222612,-11.34071667,32.906379,2934.309686,3.52360316777589
7.722095486,-67.43077069,-79.81455745,-7.07936844,16.872911,0,2.88328621461771
93.84119809,-7.457661237,-79.43084167,-9.419525,91.382476,0,4.52593730698145
4.913065514,-1.53321903,-75.01980976,-15.50539309,1.291684,46.403036,0.829286918492285
7.212392691,-45.53103233,-76.25673333,-13.53414868,6.191314,0,1.97287390886027
81.19125643,4.791838398,-78.8976525,-10.31181917,3220.724159,0,8.07767194834018
6.096439078,-24.62788994,-77.69723333,-11.3329,77.754599,1196.421514,4.36633667600053
35.60628845,16.29896743,-75.69877348,-15.22827348,222.079503,0,5.40752822361857
48.54509444,11.12359003,-78.11012716,-11.07628025,162.680808,0,5.09791823865252
35.69748422,-5.773814714,-77.48586747,-12.16804207,89.732726,0,4.50791810791921
7.789039656,-25.1824428,-76.58590833,-12.90040833,395.895216,0,5.98367230630242
25.58639561,-67.23499856,-78.67092026,-9.46520359,0,0,0
17.47225691,-94.94282087,-78.94149366,-8.63232183,31804.67849,0,10.3674001216947
5.009960035,-39.9475121,-80.3568624,-6.55810698,437.762326,0,6.08395786783276
13.43181597,-87.07681604,-78.77501181,-9.03302847,0,0,0
11.88271913,-10.34667784,-81.12049919,-5.42041667,577.929454,0,6.36118062904441
27.46591687,-6.54885584,-77.89998458,-11.18898458,17.927704,0,2.94062666890581
5.529628434,-89.03509589,-79.205325,-8.06349167,157.827348,0,5.06781775061014
14.302388,-51.16436699,-79.64229686,-7.60266667,21.820483,0,3.12765850985411
22.47635634,-79.27999287,-79.12299167,-8.513825,24.190761,0,3.22647730030915
16.06300463,10.50877884,-81.29833333,-5.94865208,119.673882,0,4.79309171695009
3.222039118,-2.255695738,-74.66801208,-15.68098792,8.898692,231.979843,2.29240262719965
34.56066712,-48.43597105,-78.67499125,-9.69916667,0.231182,0,0.20797468355262
24.07521529,7.298955719,-75.60614958,-15.173,235.957446,0,5.46788057227099
14.05086959,-23.8484818,-76.97801916,-12.37781916,234.284079,15.037692,5.46079363088567
7.075610475,-25.98036969,-76.7925,-12.588,64.488734,0,4.18187812784751
35.34018767,2.464688546,-78.34833333,-10.47583333,12.829564,0,2.62680861951089
2.403637394,-28.64137712,-77.8728,-10.66925,305.293848,0,5.72454492875293
7.577331524,-4.776660787,-75.30516667,-15.307,2.559806,0,1.26970604899704
26.58929846,14.10312871,-81.3872,-5.83655,161.022634,0,5.08773604152239
3.838496193,-32.59168163,-76.30076667,-13.75549894,1230.459745,0,7.1159555292472
3.632044705,-16.40919525,-75.6974025,-14.8440975,0.559936,0,0.444644794778845
56.99102831,4.269669425,-76.80221,-13.50516667,149.828883,0,5.01614596906422
25.33482705,16.46907911,-73.19915042,-16.67981708,14.392166,0,2.73385867868848
18.37828302,5.256261241,-81.36107697,-5.21116667,2.69508,0,1.30700220504536
19.00854589,13.60517344,-81.32398667,-5.97066667,0.057122,0,0.0555501212304473
17.24732281,-19.8741744,-77.85971891,-10.93079279,17.488734,0,2.91716157361195
57.00686966,24.09415873,-77.00822208,-13.13816667,118.993378,0,4.78743655792606
3.086074568,-7.825266067,-73.61841667,-16.2635,2.214783,60.371551,1.16775985929964
7.625505683,-27.68869926,-77.70633333,-11.17867917,1.286784,502.66645,0.827146463706624
66.23310026,-35.11888122,-79.54555461,-8.51506064,466.046206,0,6.1464281949586
4.580334583,-0.771093479,-73.14653833,-16.48996167,0.105183,1.330124,0.10001093211748
15.83672172,5.640002855,-73.49811917,-16.42511917,4.604175,259.321829,1.72351185568169
17.85437178,-11.73554183,-76.94306125,-12.5955,4.441248,0,1.6940084463217
44.3897768,11.86815343,-78.065315,-11.2835,15345.26101,0,9.63862714093391
