Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,10.48141347,-62.98567916,-79.91461383,-7.02961383,15.573,35.073,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,8.773992933,-64.79170223,-79.89985007,-7.0211834,15.506,35.072,NA,NA,0,0,0,0,0,0,0,14.268693,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,7.050328335,-66.57774845,-79.88537633,-7.0127715,15.442,35.071,NA,NA,0,0,0,0,0,0,0,2.26213,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.351694013,-68.40094315,-79.87066432,-7.00416667,15.377,35.07,NA,NA,0,0,0,0,0,0,0,2.46011,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,3.683232042,-70.20003703,-79.85568415,-6.99618415,15.313,35.069,NA,NA,0,0,0,0,0,0,0,2.070205,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,3.411962165,-70.54289671,-79.8438509,-7.00398244,15.288,35.068,NA,NA,0,0,0,0,0,0,0,25.9457,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,3.907420671,-70.29656211,-79.83413285,-7.01783333,15.282,35.067,NA,NA,0,0,0,0,0,0,0,7.130469,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,4.399171458,-70.05713615,-79.82418566,-7.03181434,15.276,35.066,NA,NA,0,0,0,0,0,0,0,2.186345,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.086256199,-69.83226165,-79.81433333,-7.04583333,15.271,35.065,NA,NA,0,0,0,0,0,0,0,5.643104,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.417482644,-69.68252949,-79.80443808,-7.05956192,15.266,35.064,NA,NA,0,0,0,0,0,0,0,10.696184,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.71222109,-69.54657502,-79.79466584,-7.07366749,15.263,35.063,NA,NA,0,0,0,0,0,0,0,1.286296,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,6.196442664,-69.44897061,-79.785,-7.08783333,15.262,35.062,NA,NA,2.902394,0,0,0,0,0,0,3.608906,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,6.099593654,-69.39871332,-79.7754999,-7.10183343,15.261,35.061,NA,NA,6.740361,0,0,0,0,0,0,2.512211,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,6.454592046,-69.43135881,-79.76561786,-7.11588214,15.26,35.06,NA,NA,27.796989,0,0,0,0,0,0,2.639859,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,6.75238928,-69.50975322,-79.75583333,-7.12988209,15.26,35.058,NA,NA,1.116443,0,0,0,0,0,0,2.048062,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,6.789739544,-69.63480162,-79.74606953,-7.14393047,15.261,35.057,NA,NA,36.416321,0,0,0,0,0,0,3.1,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.372254989,-69.81144125,-79.7370479,-7.15661877,15.262,35.055,NA,NA,44.788045,0,0,0,0,0,0,54.554197,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,4.15546945,-69.97839609,-79.72769097,-7.1709757,15.266,35.054,NA,NA,212.499164,0,0,0,0,0,0,138.345632,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,3.805676521,-69.76303748,-79.72325959,-7.18416667,15.286,35.053,NA,NA,248.430315,0,0,0,0,0,0,48.345148,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,5.664058739,-67.88718385,-79.73866667,-7.19133333,15.356,35.054,NA,NA,257.629104,0,0,0,0,0,0,2.978691,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,7.465033578,-66.05052015,-79.75231716,-7.20130907,15.43,35.054,NA,NA,0,0,0,0,0,4.595567,0,2.231109,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,9.318802514,-64.18327505,-79.76704417,-7.20971084,15.504,35.055,NA,NA,0,0,0,0,0,11.102424,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,11.18647191,-62.30913022,-79.78187693,-7.2180436,15.579,35.056,NA,NA,0,0,0,0,0,31.60536,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,13.05642883,-60.43605463,-79.79659771,-7.22659771,15.655,35.057,NA,NA,0,0,0,0,0,114.033857,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,14.92300274,-58.56948762,-79.81129881,-7.23506607,15.732,35.058,NA,NA,0,0,0,0,0,119.810727,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,16.79762923,-56.69727487,-79.826,-7.24366667,15.809,35.059,NA,NA,0,0,0,0,0,51.02952,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,18.68742031,-54.81187121,-79.84081663,-7.25231663,15.888,35.06,NA,NA,0,0,0,0,0,32.284133,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,20.56718364,-52.93858865,-79.85550313,-7.26100313,15.968,35.06,NA,NA,0,0,0,0,0,52.876188,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,22.44097854,-51.07255955,-79.87016667,-7.26960022,16.047,35.061,NA,NA,0,0,0,0,0,52.316975,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,24.31985572,-49.19957002,-79.88510053,-7.27776719,16.126,35.062,NA,NA,0,0,0,0,0,43.095918,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,26.19138807,-47.33669733,-79.89983568,-7.28616902,16.205,35.063,NA,NA,0,0,0,0,0,23.453439,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,28.0850457,-45.45337761,-79.91471771,-7.29471771,16.285,35.063,NA,NA,0,0,0,0,0,1.697042,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,29.98129008,-43.57106792,-79.9295,-7.3035,16.366,35.064,NA,NA,0,0,0,0,0,3.079669,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,33.09351506,-40.48089414,-79.95397725,-7.3175,16.497,35.065,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,34.9820669,-38.61003013,-79.96873675,-7.32616667,16.576,35.065,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,36.86236886,-36.74768737,-79.9835,-7.33466667,16.653,35.066,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,38.74034374,-34.88740183,-79.99832912,-7.343,16.73,35.066,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,40.63701729,-33.01211146,-80.01326016,-7.3515,16.807,35.067,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,42.52405185,-31.14897222,-80.02811801,-7.35995134,16.882,35.067,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,44.39555474,-29.30432662,-80.04285325,-7.36833333,16.955,35.067,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,46.26477904,-27.46837493,-80.0575,-7.37683333,17.028,35.067,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
