DC,DSB,Lon,Lat,SST,SSS,Anch
86.93141628,-15.10183274,-79.66107838,-8.745,18.46719954,35.04275311,302
88.77192842,-13.29739917,-79.6754275,-8.7539275,18.49693728,35.04648061,775
90.62521603,-11.47379134,-79.69049589,-8.7615,18.52749263,35.05009808,176
92.79411173,-9.363345719,-79.70799581,-8.77066248,18.56343855,35.05448717,179
94.65443171,-7.60181766,-79.72273752,-8.77911876,18.59435063,35.05844655,556
96.5080837,-5.920650221,-79.73736757,-8.78766667,18.62534315,35.06250277,527
98.35194568,-4.387937287,-79.75199259,-8.796,18.65643497,35.06659731,340
100.2011457,-3.192151682,-79.76674328,-8.80416667,18.68110688,35.07075787,595
102.0699892,-1.512992005,-79.78157683,-8.81257683,18.7036382,35.0750805,249
103.9139566,0.381693951,-79.796,-8.82133333,18.72770897,35.07952066,6
105.7875607,2.243378592,-79.81083333,-8.82983333,18.75382557,35.08404949,6
107.6382153,2.799726542,-79.8256654,-8.83783333,18.78117618,35.08853517,90
109.5049198,3.177873705,-79.84066008,-8.84582675,18.81040371,35.09319771,30
111.3517743,3.12577813,-79.85541206,-8.85391206,18.84107274,35.09786605,243
113.2183332,3.010952412,-79.87020343,-8.86233333,18.87392724,35.10260232,1832
115.0772631,2.756728965,-79.88507731,-8.87041064,18.90814664,35.10723161,414
116.9216973,2.042963659,-79.89932836,-8.8795,18.93550558,35.11199594,149
118.8134911,-1.518460692,-79.91381969,-8.88907651,18.96650009,35.11689645,150
120.7253508,1.357975765,-79.9285,-8.89866667,19.00247006,35.1217984,143
122.6267489,0.22038832,-79.9431122,-8.90816667,19.0426987,35.12663266,140
124.516749,-0.859832754,-79.95784125,-8.91717458,19.08712296,35.1313266,61
126.393368,1.525766088,-79.9723591,-8.92633333,19.13542228,35.13599376,0
128.3337334,0.915461912,-79.9874325,-8.93566667,19.18978968,35.14076166,0
130.2087583,-0.658265505,-80.00208583,-8.9445,19.24652012,35.14530445,0
132.1053131,-1.328591497,-80.01719943,-8.95283333,19.3077882,35.14881152,0
133.9757329,0.572535933,-80.03204792,-8.96116667,19.37222839,35.15141209,0
135.8602097,-0.882322648,-80.04708038,-8.96941371,19.43883037,35.1539925,0
137.7579956,1.15693959,-80.06216375,-8.97783042,19.50357096,35.15653962,0
139.6651539,1.429191758,-80.07754542,-8.98583333,19.56944436,35.15907423,0
141.519795,2.390607895,-80.092045,-8.994545,19.63585294,35.1614482,0
143.3677912,3.978951394,-80.10557333,-9.00507333,19.70561705,35.16366921,0
145.1991274,5.730628259,-80.11872209,-9.016,19.77613457,35.16578974,0
147.0682735,7.588382512,-80.13329747,-9.02483333,19.84047163,35.16802942,0
148.9722793,9.489106191,-80.14839417,-9.03333333,19.90511023,35.166828,0
150.8556742,11.35821,-80.16319649,-9.042,19.96859618,35.16558346,0
152.7459371,13.18380974,-80.17806792,-9.05066667,20.03169408,35.16435901,0
154.7215663,15.11552448,-80.19376083,-9.0594275,20.08748251,35.16308772,0
156.5993417,16.9676762,-80.20887083,-9.06737083,20.13356437,35.16187938,0
158.5149127,18.86425257,-80.22434875,-9.07534875,20.18064503,35.16066349,0
160.4043501,20.73640077,-80.23953792,-9.08337125,20.22744249,35.15950009,0
162.2864804,22.59664954,-80.25433333,-9.09202217,20.2749553,35.1584139,0
164.1563487,24.43545356,-80.26832583,-9.102,20.32383403,35.15746266,0
166.0099924,26.26562035,-80.28220302,-9.11186969,20.37248027,35.15654698,0
167.8650179,28.10722847,-80.29647042,-9.121,20.42057958,35.15560287,0
169.761746,29.99565436,-80.3113157,-9.12983333,20.46943625,35.15462696,0
171.661459,31.88857589,-80.32619083,-9.13866667,20.51856759,35.15367565,0
173.5656901,33.78698196,-80.34107353,-9.14757353,20.55608305,35.15275355,0
175.4553273,35.67166732,-80.35580869,-9.15647536,20.59300184,35.15187072,0
176.0405097,36.33148583,-80.3674925,-9.14534083,20.58241875,35.15048031,0
176.4574872,36.89759421,-80.37829581,-9.13220419,20.56588578,35.14905675,0
176.9056504,37.54706224,-80.38933333,-9.11883375,20.54858285,35.14757413,0
177.3805183,38.18767987,-80.40035792,-9.10564208,20.53114125,35.14606972,0
177.512858,38.8869852,-80.41126792,-9.09206542,20.51217249,35.14452863,0
177.1267852,39.58798206,-80.42166667,-9.0775,20.48984976,35.14295876,0
176.6946707,40.24793173,-80.4308175,-9.06334917,20.46665892,35.14149066,0
